DTXSID,label,predicted_proba,is_error,uncertainty_std,nn_tanimoto_to_train,ad_novelty
DTXSID2026573,1.0,0.494,True,0.49996399870390446,0.41304347826086957,0.5869565217391304
DTXSID0026888,0.0,0.026,False,0.1591351626762615,0.25,0.75
DTXSID6026955,0.0,0.33,False,0.4702127178203504,0.5714285714285714,0.4285714285714286
DTXSID1027184,0.0,0.246,False,0.43067853440820786,0.2,0.8
DTXSID2027200,0.0,0.148,False,0.35509998591945824,0.5,0.5
DTXSID0027222,0.0,0.10911111111111112,False,0.31074732699504787,0.3333333333333333,0.6666666666666667
DTXSID3027322,0.0,0.052,False,0.22202702538204694,1.0,0.0
DTXSID1027344,0.0,0.094,False,0.29182871688714956,1.0,0.0
DTXSID6027345,1.0,0.56,False,0.49638694583963383,0.4,0.6
DTXSID2027466,0.0,0.046,False,0.2094850830011527,0.28205128205128205,0.717948717948718
DTXSID0027515,0.0,0.052,False,0.22202702538204724,0.23076923076923078,0.7692307692307692
DTXSID3027617,0.0,0.066,False,0.2482820976228463,0.44,0.56
DTXSID1027633,0.0,0.424,False,0.49419024676737755,0.575,0.42500000000000004
DTXSID8027793,1.0,0.533,False,0.49840846702278313,0.42857142857142855,0.5714285714285714
DTXSID8027826,0.0,0.21,False,0.4073082370883259,0.4,0.6
DTXSID0027981,0.0,0.0975,False,0.29600464523382175,0.2926829268292683,0.7073170731707317
DTXSID3028001,0.0,0.66,True,0.4737087712930799,0.4444444444444444,0.5555555555555556
DTXSID8028008,1.0,0.602,False,0.4894854441145317,0.4583333333333333,0.5416666666666667
DTXSID2028985,0.0,0.518,True,0.4996758949559231,0.6222222222222222,0.37777777777777777
DTXSID2029117,1.0,0.526,False,0.4993235424051221,0.6923076923076923,0.3076923076923077
DTXSID6029121,0.0,0.552,True,0.4972886485734427,0.9,0.09999999999999998
DTXSID1029122,0.0,0.366,False,0.48170945600018966,0.6363636363636364,0.36363636363636365
DTXSID3029233,0.0,0.48,False,0.499599839871872,0.7407407407407407,0.2592592592592593
DTXSID7029241,1.0,0.852,False,0.3550999859194583,0.5862068965517241,0.4137931034482759
DTXSID8029280,0.0,0.086,False,0.2803640490505157,0.25806451612903225,0.7419354838709677
DTXSID7029611,0.0,0.244,False,0.4294927240361578,0.7142857142857143,0.2857142857142857
DTXSID8029868,0.0,0.304,False,0.45998260836688143,0.28125,0.71875
DTXSID3029869,0.0,0.37,False,0.48280430818293163,0.6097560975609756,0.3902439024390244
DTXSID7030698,0.0,0.104,False,0.30526054445342143,0.3793103448275862,0.6206896551724138
DTXSID9030707,1.0,0.214,True,0.4101268096576956,0.31666666666666665,0.6833333333333333
